Date,AAPL
1991/11/20,0.374104059
1991/11/21,0.368629539
1991/11/22,0.372279229
1991/11/25,0.372279229
1991/11/26,0.37592876
1991/11/27,0.374103871
1991/11/29,0.36862969
1991/12/2,0.370454463
1991/12/3,0.379579222
1991/12/4,0.370454494
1991/12/5,0.368629636
1991/12/6,0.361329649
1991/12/9,0.357680173
1991/12/10,0.357680173
1991/12/11,0.359504912
1991/12/12,0.360417277
1991/12/13,0.363154565
1991/12/16,0.367717327
1991/12/17,0.368629724
1991/12/18,0.366804898
1991/12/19,0.374104025
1991/12/20,0.374104057
1991/12/23,0.368629656
1991/12/24,0.379579159
1991/12/26,0.385053544
1991/12/27,0.399652656
1991/12/30,0.401477451
1991/12/31,0.418814539
1992/1/2,0.406952523
1992/1/3,0.437975481
1992/1/6,0.428851514
1992/1/7,0.419726821
1992/1/8,0.427026064
1992/1/9,0.441626006
1992/1/10,0.448925137
1992/1/13,0.454400174
1992/1/14,0.454400143
1992/1/15,0.470824092
1992/1/16,0.465348722
1992/1/17,0.494547874
1992/1/20,0.470824071
1992/1/21,0.468999271
1992/1/22,0.448925093
1992/1/23,0.468999228
1992/1/24,0.47082398
1992/1/27,0.472648768
1992/1/28,0.472648851
1992/1/29,0.472648744
1992/1/30,0.463523986
1992/1/31,0.467174494
1992/2/3,0.472648655
1992/2/4,0.47994861
1992/2/5,0.483598296
1992/2/6,0.479948911
1992/2/7,0.468999325
1992/2/10,0.467174343
1992/2/11,0.459874724
1992/2/12,0.465348893
1992/2/13,0.476298559
1992/2/14,0.466219314
1992/2/18,0.469876346
1992/2/19,0.45890637
1992/2/20,0.457078316
1992/2/21,0.473533109
1992/2/24,0.484502924
1992/2/25,0.484502771
1992/2/26,0.499129165
1992/2/27,0.511927346
1992/2/28,0.500957618
1992/3/2,0.495472842
1992/3/3,0.495472908
1992/3/4,0.484503092
1992/3/5,0.471704695
1992/3/6,0.464391089
1992/3/9,0.466219127
1992/3/10,0.468048164
1992/3/11,0.466219165
1992/3/12,0.462562737
1992/3/13,0.462562831
1992/3/16,0.458906373
1992/3/17,0.464391255
1992/3/18,0.462562762
1992/3/19,0.4662193
1992/3/20,0.460734592
1992/3/23,0.460734725
1992/3/24,0.464391285
1992/3/25,0.475361047
1992/3/26,0.473532909
1992/3/27,0.467134127
1992/3/30,0.447936468
1992/3/31,0.425996542
1992/4/1,0.418683771
1992/4/2,0.431481942
1992/4/3,0.42965375
1992/4/6,0.431481875
1992/4/7,0.446108393
1992/4/8,0.416855493
1992/4/9,0.409542035
1992/4/10,0.418683757
1992/4/13,0.405885565
1992/4/14,0.422340122
1992/4/15,0.42416842
1992/4/16,0.440622898
1992/4/20,0.431482009
1992/4/21,0.416855562
1992/4/22,0.411370101
1992/4/23,0.42051185
1992/4/24,0.416855567
1992/4/27,0.409541954
1992/4/28,0.404057447
1992/4/29,0.39674369
1992/4/30,0.418683781
1992/5/1,0.438794786
1992/5/4,0.4351384
1992/5/5,0.442452013
1992/5/6,0.444280218
1992/5/7,0.449764631
1992/5/8,0.449764601
1992/5/11,0.453421195
1992/5/12,0.455250233
1992/5/13,0.457078165
1992/5/14,0.458906349
1992/5/15,0.446108338
1992/5/18,0.449764707
1992/5/19,0.444279933
1992/5/20,0.436966454
1992/5/21,0.440622886
1992/5/22,0.431481919
1992/5/26,0.435138419
1992/5/27,0.433310114
1992/5/28,0.438794651
1992/5/29,0.436966538
1992/6/1,0.419526063
1992/6/2,0.421357833
1992/6/3,0.41402947
1992/6/4,0.397541879
1992/6/5,0.401205601
1992/6/8,0.403037518
1992/6/9,0.397541822
1992/6/10,0.395709958
1992/6/11,0.393878134
1992/6/12,0.399373712
1992/6/15,0.395710044
1992/6/16,0.379222378
1992/6/17,0.35906996
1992/6/18,0.348077914
1992/6/19,0.337085867
1992/6/22,0.322430197
1992/6/23,0.32975838
1992/6/24,0.333422157
1992/6/25,0.340750509
1992/6/26,0.335253986
1992/6/29,0.335254051
1992/6/30,0.342582436
1992/7/1,0.351741651
1992/7/2,0.359070014
1992/7/6,0.340750479
1992/7/7,0.338917877
1992/7/8,0.322430085
1992/7/9,0.33708599
1992/7/10,0.337085899
1992/7/13,0.335254026
1992/7/14,0.344414173
1992/7/15,0.348078044
1992/7/16,0.349909821
1992/7/17,0.329758465
1992/7/20,0.327926517
1992/7/21,0.333422153
1992/7/22,0.331590408
1992/7/23,0.3260938
1992/7/24,0.326093919
1992/7/27,0.335253986
1992/7/28,0.33342225
1992/7/29,0.341666346
1992/7/30,0.346246034
1992/7/31,0.346246121
1992/8/3,0.342582336
1992/8/4,0.329758468
1992/8/5,0.333422122
1992/8/6,0.324262049
1992/8/7,0.307774372
1992/8/10,0.316934558
1992/8/11,0.326093883
1992/8/12,0.320598304
1992/8/13,0.3260938
1992/8/14,0.329758377
1992/8/17,0.325133464
1992/8/18,0.326970248
1992/8/19,0.327889577
1992/8/20,0.32880789
1992/8/21,0.328807996
1992/8/24,0.325133491
1992/8/25,0.317786359
1992/8/26,0.325133562
1992/8/27,0.328807982
1992/8/28,0.325133545
