,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
181,AAPL,20190412,198.87,199.2,200.14,196.21,198.95,-0.04,27760668,5505407121.23,198.32
182,AAPL,20190411,198.95,200.85,201.0,198.44,200.62,-0.83,20900809,4175197857.86,199.76
183,AAPL,20190410,200.62,198.68,200.74,198.18,199.5,0.56,21695290,4328800683.84,199.53
184,AAPL,20190409,199.5,200.32,202.85,199.23,200.1,-0.3,35768239,7186676549.57,200.92
185,AAPL,20190408,200.1,196.42,200.23,196.34,197.0,1.57,25881696,5149911400.21,198.98
186,AAPL,20190405,197.0,196.45,197.1,195.93,195.69,0.67,18526645,3642949786.29,196.63
187,AAPL,20190404,195.69,194.79,196.37,193.14,195.35,0.17,19114274,3740302353.16,195.68
188,AAPL,20190403,195.35,193.25,196.5,193.15,194.02,0.69,23271829,4545439677.18,195.32
189,AAPL,20190402,194.02,191.09,194.46,191.05,191.24,1.45,22765731,4395853439.03,193.09
190,AAPL,20190401,191.24,191.64,191.68,188.38,189.95,0.68,27861965,5301377158.87,190.27
191,AAPL,20190329,189.95,189.83,190.08,188.54,188.72,0.65,23563961,4465281302.09,189.5
192,AAPL,20190328,188.72,188.95,189.56,187.53,188.47,0.13,20780364,3915261837.63,188.41
193,AAPL,20190327,188.47,188.75,189.76,186.55,186.79,0.9,29848426,5626693951.99,188.51
194,AAPL,20190326,186.79,191.66,192.88,184.58,188.74,-1.03,49800540,9431017102.93,189.38
195,AAPL,20190325,188.74,191.51,191.98,186.6,191.05,-1.21,43845293,8279811336.51,188.84
196,AAPL,20190322,191.05,195.34,197.69,190.78,195.09,-2.07,42407665,8224054861.95,193.93
197,AAPL,20190321,195.09,190.02,196.33,189.81,188.16,3.68,51034239,9918305316.12,194.35
198,AAPL,20190320,188.16,186.23,189.49,184.73,186.53,0.87,31035231,5816852654.73,187.43
199,AAPL,20190319,186.53,188.35,188.99,185.92,188.02,-0.79,31646368,5930485374.75,187.4
200,AAPL,20190318,188.02,185.8,188.39,185.79,186.12,1.02,26219833,4920353555.16,187.66
201,AAPL,20190315,186.12,184.85,187.33,183.74,183.73,1.3,39042911,7255414818.8,185.83
202,AAPL,20190314,183.73,183.9,184.1,182.56,181.71,1.11,23579508,4327926733.32,183.55
203,AAPL,20190313,181.71,182.25,183.3,180.92,180.91,0.44,31032524,5646836643.24,181.97
204,AAPL,20190312,180.91,180.0,182.67,179.37,178.9,1.12,32467586,5881510022.09,181.15
205,AAPL,20190311,178.9,175.49,179.12,175.35,172.91,3.46,32011036,5702513496.33,178.14
206,AAPL,20190308,172.91,170.32,173.07,169.5,172.5,0.24,23999360,4123229484.28,171.81
207,AAPL,20190307,172.5,173.87,174.44,172.02,174.52,-1.16,24796375,4291863457.38,173.08
208,AAPL,20190306,174.52,174.67,175.49,173.94,175.53,-0.58,20810383,3636828776.19,174.76
209,AAPL,20190305,175.53,175.94,176.0,174.54,175.85,-0.18,19737418,3461384745.64,175.37
210,AAPL,20190304,175.85,175.69,177.75,173.97,174.97,0.5,27436204,4827833860.19,175.97
211,AAPL,20190301,174.97,174.28,175.15,172.89,173.15,1.05,25886168,4511933196.23,174.3
212,AAPL,20190228,173.15,174.32,174.91,172.92,174.87,-0.98,28215415,4904256997.3,173.81
213,AAPL,20190227,174.87,173.21,175.0,172.73,174.33,0.31,27835391,4848677655.57,174.19
214,AAPL,20190226,174.33,173.71,175.3,173.17,174.23,0.06,17070211,2976802572.11,174.39
215,AAPL,20190225,174.23,174.16,175.87,173.95,172.97,0.73,21873360,3825353186.3,174.89
216,AAPL,20190222,172.97,171.58,173.0,171.38,171.06,1.12,18913153,3259682108.68,172.35
217,AAPL,20190221,171.06,171.8,172.37,170.3,172.03,-0.56,17249672,2951922569.62,171.13
218,AAPL,20190220,172.03,171.19,173.32,170.99,170.93,0.64,26114364,4498102837.0,172.25
